number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,CATCH24_SYM,4,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.26854219948849106
1,Adiac,CATCH24_SYM,0,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.43478260869565216
1,Adiac,CATCH24_SYM,1,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4296675191815857
1,Adiac,CATCH24_SYM,2,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4117647058823529
1,Adiac,CATCH24_SYM,3,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.43478260869565216
1,Adiac,CATCH24_SYM,4,6,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4680306905370844
1,Adiac,CATCH24_SYM,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.46547314578005117
1,Adiac,CATCH24_SYM,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.41687979539641945
1,Adiac,CATCH24_SYM,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.44501278772378516
1,Adiac,CATCH24_SYM,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4143222506393862
1,Adiac,CATCH24_SYM,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.42710997442455245
1,Adiac,MCB,0,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5652173913043478
1,Adiac,MCB,1,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5652173913043478
1,Adiac,MCB,2,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5115089514066496
1,Adiac,MCB,3,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5933503836317136
1,Adiac,MCB,4,5,3.0,4.0,32.0,16.0,,quantile,transformer,0.0,,,,,0.5575447570332481
1,Adiac,MCB,0,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.5575447570332481
1,Adiac,MCB,1,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.5294117647058824
1,Adiac,MCB,2,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.4936061381074169
1,Adiac,MCB,3,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.5294117647058824
1,Adiac,MCB,4,6,3.0,4.0,128.0,64.0,,uniform,transformer,0.0,,,,,0.5038363171355499
1,Adiac,MCB,0,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.45524296675191817
1,Adiac,MCB,1,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4782608695652174
1,Adiac,MCB,2,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4398976982097187
1,Adiac,MCB,3,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5166240409207161
1,Adiac,MCB,4,5,,,,,,uniform,resnet,,3.0,16.0,True,True,0.48081841432225064
1,Adiac,MCB,0,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.45524296675191817
1,Adiac,MCB,1,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.46035805626598464
1,Adiac,MCB,2,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.45012787723785164
1,Adiac,MCB,3,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5089514066496164
1,Adiac,MCB,4,5,,,,,,uniform,resnet,,3.0,64.0,True,True,0.46547314578005117
1,Adiac,MCB,0,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5856777493606138
1,Adiac,MCB,1,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5217391304347826
1,Adiac,MCB,2,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.4884910485933504
1,Adiac,MCB,3,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5498721227621484
1,Adiac,MCB,4,5,,,,,,quantile,resnet,,3.0,16.0,True,True,0.5652173913043478
1,Adiac,MCB,0,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5370843989769821
1,Adiac,MCB,1,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.49104859335038364
1,Adiac,MCB,2,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4884910485933504
1,Adiac,MCB,3,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5498721227621484
1,Adiac,MCB,4,5,,,,,,quantile,resnet,,3.0,64.0,True,True,0.5626598465473146
1,Adiac,MCB,0,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.44501278772378516
1,Adiac,MCB,1,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.45268542199488493
1,Adiac,MCB,2,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4578005115089514
1,Adiac,MCB,3,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.48081841432225064
1,Adiac,MCB,4,6,,,,,,uniform,resnet,,3.0,16.0,True,True,0.4219948849104859
1,Adiac,MCB,0,6,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4731457800511509
