number,symbolCount,numOfAttentionLayers,method,header,dmodel,dff,ncoef,strategy,architecture,dropout,name,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy,fold
15,0,3.0,CATCH24,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,1.0,4
15,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8928571428571429,0
15,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.9285714285714286,1
15,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.7142857142857143,2
15,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.5357142857142857,3
15,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,Coffee,,,,,0.8214285714285714,4
17,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.47435897435897434,0
17,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.49743589743589745,1
17,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.4641025641025641,2
17,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.5,3
17,0,3.0,ORI,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.49743589743589745,4
17,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.4948717948717949,0
17,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.45384615384615384,1
17,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.5025641025641026,2
17,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.49230769230769234,3
17,0,3.0,CATCH22,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.5384615384615384,4
17,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.47692307692307695,0
17,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.43846153846153846,1
17,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.4128205128205128,2
17,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.4461538461538462,3
17,0,3.0,TSFEAT,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.5256410256410257,4
17,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.2512820512820513,0
17,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.2794871794871795,1
17,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.3153846153846154,2
17,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.2846153846153846,3
17,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketX,,,,,0.28974358974358977,4
18,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,CricketY,,,,,0.33589743589743587,0
18,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,CricketY,,,,,0.3230769230769231,1
18,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,CricketY,,,,,0.3230769230769231,2
18,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,CricketY,,,,,0.3,3
18,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,CricketY,,,,,0.30512820512820515,4
19,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketZ,,,,,0.31794871794871793,0
19,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketZ,,,,,0.27692307692307694,1
19,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketZ,,,,,0.3153846153846154,2
19,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketZ,,,,,0.3,3
19,0,3.0,TOOLS,4.0,32.0,16.0,,,transformer,0.0,CricketZ,,,,,0.28717948717948716,4
20,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Crop,,,,,0.6031547619047619,0
20,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Crop,,,,,0.5964880952380952,1
20,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Crop,,,,,0.6170238095238095,2
20,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Crop,,,,,0.6070238095238095,3
20,0,3.0,TSFEL,4.0,32.0,16.0,,,transformer,0.0,Crop,,,,,0.5922619047619048,4
22,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,DistalPhalanxOutlineAgeGroup,,,,,0.7050359712230215,0
22,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,DistalPhalanxOutlineAgeGroup,,,,,0.7194244604316546,1
22,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,DistalPhalanxOutlineAgeGroup,,,,,0.697841726618705,2
22,0,3.0,TSFRESH,4.0,32.0,16.0,,,transformer,0.0,DistalPhalanxOutlineAgeGroup,,,,,0.7122302158273381,3
